name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Quiet Garden View Room & Super Fast WiFi,Oostelijk Havengebied - Indische Buurt,52.36575,4.94142,Private room,59,3,278,2.06,1,169
Studio with private bathroom in the centre 1,Centrum-Oost,52.36509,4.89354,Private room,100,1,340,2.76,2,106
Lovely apt in City Centre (w.lift) near Jordaan,Centrum-West,52.37297,4.88339,Entire home/apt,125,14,5,0.18,1,132
"Romantic, stylish B&B houseboat in canal district",Centrum-West,52.387609999999995,4.8918800000000005,Private room,155,2,217,2.15,1,172
Comfortable double room,Centrum-West,52.36719,4.8909199999999995,Private room,75,2,332,2.82,3,210
Comfortable single room,Centrum-West,52.36773,4.89151,Private room,55,2,479,4.33,3,262
2-story apartment + rooftop terrace,Zuid,52.35132,4.848380000000001,Entire home/apt,219,3,32,0.3,1,105
Amsterdam Center Entire Apartment,Centrum-West,52.37891,4.88321,Entire home/apt,180,4,89,0.78,1,16
Comfortable room@PERFECT location + 2 bikes,Centrum-West,52.36781,4.89001,Hotel room,159,3,471,4.02,2,293
Oasis in the middle of Amsterdam,Centrum-West,52.375370000000004,4.88932,Entire home/apt,210,3,850,10.04,1,0
Cozy loft in central Amsterdam,De Pijp - Rivierenbuurt,52.352470000000004,4.90825,Entire home/apt,150,3,3,0.03,1,0
Amsterdam Central and lot of space,Centrum-West,52.38042,4.8945300000000005,Private room,270,4,208,2.0,2,324
Multatuli Luxury Guest Suite in top location,Centrum-West,52.38028,4.89089,Entire home/apt,220,3,367,3.18,1,1
Luxurous Houseboat-Great Location,De Baarsjes - Oud-West,52.36266,4.86103,Entire home/apt,250,3,103,0.95,1,336
"Family Home (No drugs, smoking or parties)",Bos en Lommer,52.37727,4.83925,Entire home/apt,120,4,17,0.23,1,75
Perfect central Amsterdam apartment,Westerpark,52.38201,4.87865,Entire home/apt,135,1,108,1.19,1,1
B & B de 9 Straatjes (city center),Centrum-West,52.36841,4.88413,Private room,115,2,298,2.63,1,285
Amsterdam Aqua,Oostelijk Havengebied - Indische Buurt,52.37005,4.93869,Private room,80,2,102,0.89,1,0
Green studio at the attic of a townhouse,De Pijp - Rivierenbuurt,52.353390000000005,4.90064,Private room,87,2,355,3.1,3,15
Nice room near centre with en suite bath,Westerpark,52.38905,4.8855900000000005,Private room,75,3,309,2.81,1,0
Large quiet Studio with gardenview in hip area.,De Pijp - Rivierenbuurt,52.35348,4.9004900000000005,Private room,115,3,323,2.99,3,58
Luminous central room,Centrum-Oost,52.37126,4.90351,Private room,86,1,179,1.6,1,0
"Fully equiped house, PIJP area = great",De Pijp - Rivierenbuurt,52.35386,4.89772,Entire home/apt,222,3,31,0.27,1,15
groundfloor apartment with patio,Bos en Lommer,52.375609999999995,4.8581900000000005,Entire home/apt,250,3,3,0.05,1,365
Bright Loft in Centre Amsterdam,Centrum-Oost,52.358959999999996,4.89726,Entire home/apt,159,4,58,0.51,1,10
"Greatly located, cozy atmosphere",De Baarsjes - Oud-West,52.369659999999996,4.86203,Private room,60,2,158,1.38,1,27
Apartment near Museumplein (centre),Zuid,52.35613,4.88515,Entire home/apt,149,4,95,0.84,1,32
Amsterdam Apt near Amstel River,Centrum-West,52.376290000000004,4.88019,Entire home/apt,175,1,0,,3,106
En Suite accommodation in a monumental canal house,Centrum-West,52.36916,4.88445,Private room,220,3,108,1.14,1,283
"Charming, beautifully & sunny place",Oud-Oost,52.36445,4.93124,Entire home/apt,109,2,30,0.27,1,0
Very nice appartment ALL of januari,Bos en Lommer,52.38459,4.85463,Entire home/apt,750,30,0,,1,365
Luxury Houseboat,De Baarsjes - Oud-West,52.363479999999996,4.8678300000000005,Entire home/apt,189,3,103,1.27,1,0
Unique 3 bedroom house in Centre,Centrum-Oost,52.36225,4.902,Entire home/apt,450,4,27,0.25,1,76
Amsterdam - The Pijp Apartment 1A,De Pijp - Rivierenbuurt,52.35472,4.8932400000000005,Entire home/apt,100,2,16,0.2,2,0
Rebel - Private Room,Centrum-West,52.36887,4.895230000000001,Private room,149,3,659,5.95,2,72
Yves Klein - Private Room,Centrum-West,52.3695,4.89556,Private room,109,3,579,5.19,2,89
Cozy comfortable Studio | At the Canals | Vondelpark!,Centrum-West,52.37353,4.87691,Hotel room,108,3,154,1.41,2,181
Attic room with doublebed available,Noord-West,52.41433,4.92014,Private room,53,1,106,2.13,1,4
Centre Museum Quarter Apt Roof Deck,Zuid,52.35935,4.87672,Entire home/apt,220,5,62,0.56,1,107
B28 Unique Houseboat  Herengracht,Centrum-West,52.37894,4.8906,Entire home/apt,175,3,97,1.16,1,81
Garden Suite (Website hidden by Airbnb),Oud-Oost,52.36482,4.92762,Private room,105,3,252,2.32,3,37
Cottage Room- Completely Private,Oud-Oost,52.36551,4.92848,Private room,70,3,324,3.0,3,60
"studio INN, bright and spacious",Westerpark,52.389340000000004,4.89089,Hotel room,145,3,64,1.38,1,219
TOP LOCATED Canalhouse B&B Jordaan,Centrum-West,52.37876,4.89264,Private room,105,2,218,1.97,2,0
