neighbourhood,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,price/night
Oostelijk Havengebied - Indische Buurt,Private room,278,2.06,1,19.666666666666668
Centrum-Oost,Private room,340,2.76,2,100.0
Centrum-West,Entire home/apt,5,0.18,1,8.928571428571429
Centrum-West,Private room,217,2.15,1,77.5
Centrum-West,Private room,332,2.82,3,37.5
Centrum-West,Private room,479,4.33,3,27.5
Zuid,Entire home/apt,32,0.3,1,73.0
Centrum-West,Entire home/apt,89,0.78,1,45.0
Centrum-West,Hotel room,471,4.02,2,53.0
Centrum-West,Entire home/apt,850,10.04,1,70.0
De Pijp - Rivierenbuurt,Entire home/apt,3,0.03,1,50.0
Centrum-West,Private room,208,2.0,2,67.5
Centrum-West,Entire home/apt,367,3.18,1,73.33333333333333
De Baarsjes - Oud-West,Entire home/apt,103,0.95,1,83.33333333333333
Bos en Lommer,Entire home/apt,17,0.23,1,30.0
Westerpark,Entire home/apt,108,1.19,1,135.0
Centrum-West,Private room,298,2.63,1,57.5
Oostelijk Havengebied - Indische Buurt,Private room,102,0.89,1,40.0
De Pijp - Rivierenbuurt,Private room,355,3.1,3,43.5
Westerpark,Private room,309,2.81,1,25.0
De Pijp - Rivierenbuurt,Private room,323,2.99,3,38.333333333333336
Centrum-Oost,Private room,179,1.6,1,86.0
De Pijp - Rivierenbuurt,Entire home/apt,31,0.27,1,74.0
Bos en Lommer,Entire home/apt,3,0.05,1,83.33333333333333
Centrum-Oost,Entire home/apt,58,0.51,1,39.75
De Baarsjes - Oud-West,Private room,158,1.38,1,30.0
Zuid,Entire home/apt,95,0.84,1,37.25
Centrum-West,Entire home/apt,0,0.0,3,175.0
Centrum-West,Private room,108,1.14,1,73.33333333333333
Oud-Oost,Entire home/apt,30,0.27,1,54.5
Bos en Lommer,Entire home/apt,0,0.0,1,25.0
De Baarsjes - Oud-West,Entire home/apt,103,1.27,1,63.0
Centrum-Oost,Entire home/apt,27,0.25,1,112.5
De Pijp - Rivierenbuurt,Entire home/apt,16,0.2,2,50.0
